,paperId,abstract,authors,citationCount,citationStyles,citations,journal,referenceCount,title,year
679,375243fc58bf2319894703111e52b6d8ad2ec111,"Issues of reliability, item latent structure, and faking on the Holden Psychological Screening Inventory (HPSI), the Brief Symptom Inventory (BSI), and the Balanced Inventory of Desirable Responding (BIDR) were examined with a sample of 300 university undergraduates. Reliability analyses indicated that scales from all inventories had acceptable internal consistency. Confirmatory item principal component analyses supported the structures and scoring keys of the HPSI and the BIDR, but not the BSI. Although all inventories were susceptible to faking, validity indices of the HPSI and the BIDR could correctly classify over two-thirds of test respondents as either responding honestly or as faking.","[{'authorId': '40252192', 'name': 'R. Holden'}, {'authorId': '38956355', 'name': 'Katherine B. Starzyk'}, {'authorId': '114697267', 'name': 'L. McLeod'}, {'authorId': '153196106', 'name': 'Melanie J. Edwards'}]",48.0,"{'bibtex': '@Article{Holden2000ComparisonsAT,\n author = {R. Holden and Katherine B. Starzyk and L. McLeod and Melanie J. Edwards},\n journal = {Assessment},\n pages = {163 - 175},\n title = {Comparisons among the Holden Psychological Screening Inventory (HPSI), the Brief Symptom Inventory (BSI), and the Balanced Inventory of Desirable Responding (BIDR)},\n volume = {7},\n year = {2000}\n}\n'}",,"{'volume': '7', 'pages': '163 - 175', 'name': 'Assessment'}",21.0,"Comparisons among the Holden Psychological Screening Inventory (HPSI), the Brief Symptom Inventory (BSI), and the Balanced Inventory of Desirable Responding (BIDR)",2000.0
680,375e201aa93dcff804959e70c0ae7a2d44593ae6,"Experiencing emotional distress is the number one reason why people who are undergoing behaviour modification (e.g. quitting smoking, dieting) suffer from relapses. Providing emotional support is an effective way to help them overcome the unpleasant effects of negative affect and adhere to their regimen. Building computers with such ability has grabbed the attention of the HCI community in recent years. Early research has shown some promising results when adopting strategies of how we comfort others, but many questions on how to build such systems remain unanswered. This paper presents the results of a 2 (modality: animated vs. no visual) by 3 (intervention: non-empathy vs. empathy vs. empathy and expressivity) between-subjects study that investigates the impact of two important factors and their interaction in the design of such systems: (1) different ways of expressing empathy, and (2) the modality of delivering such content. Findings and implications for the design of empathic computer systems are discussed and directions for future research are suggested.","[{'authorId': '2110579362', 'name': 'Hien Nguyen'}, {'authorId': '145428594', 'name': 'J. Masthoff'}]",52.0,"{'bibtex': '@Inproceedings{Nguyen2009DesigningEC,\n author = {Hien Nguyen and J. Masthoff},\n pages = {7},\n title = {Designing empathic computers: the effect of multimodal empathic feedback using animated agent},\n year = {2009}\n}\n'}",,{'pages': '7'},16.0,Designing empathic computers: the effect of multimodal empathic feedback using animated agent,2009.0
681,376973681a3e717736625bd4e680515b909cf339,,"[{'authorId': '11269472', 'name': 'I. Masi'}, {'authorId': '2077431021', 'name': 'A. Tran'}, {'authorId': '1756099', 'name': 'Tal Hassner'}, {'authorId': '2955822', 'name': 'J. Leksut'}, {'authorId': '3463966', 'name': 'G. Medioni'}]",352.0,"{'bibtex': '@Article{Masi2016DoWR,\n author = {I. Masi and A. Tran and Tal Hassner and J. Leksut and G. Medioni},\n journal = {ArXiv},\n title = {Do We Really Need to Collect Millions of Faces for Effective Face Recognition?},\n volume = {abs/1603.07057},\n year = {2016}\n}\n'}",,"{'volume': 'abs/1603.07057', 'name': 'ArXiv'}",50.0,Do We Really Need to Collect Millions of Faces for Effective Face Recognition?,2016.0
682,376cf14b5bf4d0e636233d4344757e5e44cda285,,"[{'authorId': '1719389', 'name': 'Rosalind W. Picard'}]",828.0,"{'bibtex': '@Article{Picard2003AffectiveCC,\n author = {Rosalind W. Picard},\n journal = {Int. J. Hum. Comput. Stud.},\n pages = {55-64},\n title = {Affective computing: challenges},\n volume = {59},\n year = {2003}\n}\n'}",,"{'volume': '59', 'pages': '55-64', 'name': 'Int. J. Hum. Comput. Stud.'}",18.0,Affective computing: challenges,2003.0
683,37bdb0c35d00d3af6201b6f5f56e751ff09e601a,"Objective: We tested the hypothesis that automation errors on tasks easily performed by humans undermine trust in automation. Background: Research has revealed that the reliability of imperfect automation is frequently misperceived. We examined the manner in which the easiness and type of imperfect automation errors affect trust and dependence. Method: Participants performed a target detection task utilizing an automated aid. In Study 1, the aid missed targets either on easy trials (easy miss group) or on difficult trials (difficult miss group). In Study 2, we manipulated both easiness and type of error (miss vs. false alarm). The aid erred on either difficult trials alone (difficult errors group) or on difficult and easy trials (easy miss group; easy false alarm group). Results: In both experiments, easy errors led to participants mistrusting and disagreeing more with the aid on difficult trials, as compared with those using aids that generated only difficult errors. This resulted in a downward shift in decision criterion for the former, leading to poorer overall performance. Misses and false alarms led to similar effects. Conclusion: Automation errors on tasks that appear “easy” to the operator severely degrade trust and reliance. Application: Potential applications include the implementation of system design solutions that circumvent the negative effects of easy automation errors.","[{'authorId': '2820508', 'name': 'P. Madhavan'}, {'authorId': '2732870', 'name': 'D. Wiegmann'}, {'authorId': '2823736', 'name': 'Frank C. Lacson'}]",231.0,"{'bibtex': '@Article{Madhavan2006AutomationFO,\n author = {P. Madhavan and D. Wiegmann and Frank C. Lacson},\n journal = {Human Factors: The Journal of Human Factors and Ergonomics Society},\n pages = {241 - 256},\n title = {Automation Failures on Tasks Easily Performed by Operators Undermine Trust in Automated Aids},\n volume = {48},\n year = {2006}\n}\n'}",,"{'volume': '48', 'pages': '241 - 256', 'name': 'Human Factors: The Journal of Human Factors and Ergonomics Society'}",44.0,Automation Failures on Tasks Easily Performed by Operators Undermine Trust in Automated Aids,2006.0
684,37c02744688401c6624d2de49ba22b9d6506caaf,"Recent progress in the study of attention and performance is discussed, focusing on the nature of attentional control and the effects of practice. Generally speaking, the effects of mental set are proving more pervasive than was previously suspected, whereas automaticity is proving less robust. Stimulus attributes (e.g. onsets, transients) thought to have a ""wired-in"" ability to capture attention automatically have been shown to capture attention only as a consequence of voluntarily adopted task sets. Recent research suggests that practice does not have as dramatic effects as is commonly believed. While it may turn out that some mental operations are automatized in the strongest sense, this may be uncommon. Recent work on task switching is also described; optimal engagement in a task set is proving to be intimately tied to learning operations triggered by the actual performance of a new task, not merely the anticipation of such performance.","[{'authorId': '2310380', 'name': 'H. Pashler'}, {'authorId': '143607120', 'name': 'J. C. Johnston'}, {'authorId': '2159745', 'name': 'E. Ruthruff'}]",637.0,"{'bibtex': '@Article{Pashler2001AttentionAP,\n author = {H. Pashler and J. C. Johnston and E. Ruthruff},\n journal = {Annual review of psychology},\n pages = {\n          629-51\n        },\n title = {Attention and performance.},\n volume = {52},\n year = {2001}\n}\n'}",,"{'volume': '52', 'pages': '\n          629-51\n        ', 'name': 'Annual review of psychology'}",84.0,Attention and performance.,2001.0
685,37d116d50af56473b58c0c79a7ea6276cb142680,"Comme il Faut is an artificial intelligence system and authoring strategy for creating game-based interactive stories about relationships and social interactions between characters. Using the abstraction of the social game, Comme il Faut creates experiences where specific dramatic interactions between characters arise from play. This paper describes the process of authoring for Comme il Faut. Specifically, we will describe the authoring and design considerations for Comme il Faut's inaugural game, The Prom. We discuss how we extracted and encoded an exaggerated social logic from pre-existing media experiences to create its intended story space, developed an idiosyncratic local culture for its story world, defined a set of character histories and personalities to be revealed through play, and authored the specific lines of dialogue and motivating social situations that give the audience experience of The Prom its particular character. Together, these produce an experience with much greater fictional specificity than in open-ended simulation games and many more options for what happens (and how things happen) than in traditional game stories.","[{'authorId': '38523727', 'name': 'Joshua Mccoy'}, {'authorId': '2952013', 'name': 'Mike Treanor'}, {'authorId': '144253835', 'name': 'B. Samuel'}, {'authorId': '2663075', 'name': 'B. Tearse'}, {'authorId': '114402462', 'name': 'Michael Mateas'}]",56.0,"{'bibtex': '@Inproceedings{Mccoy2010AuthoringGI,\n author = {Joshua Mccoy and Mike Treanor and B. Samuel and B. Tearse and Michael Mateas},\n title = {Authoring Game-based Interactive Narrative using Social Games and Comme il},\n year = {2010}\n}\n'}",,,7.0,Authoring Game-based Interactive Narrative using Social Games and Comme il,2010.0
686,37f2ba71dd16f26971e78ea824e3e36bece9ba3c,,"[{'authorId': '13474685', 'name': 'Christopher K. Frantz'}, {'authorId': '2251921', 'name': 'G. Pigozzi'}]",5.0,"{'bibtex': '@Article{Frantz2018ModelingND,\n author = {Christopher K. Frantz and G. Pigozzi},\n journal = {FLAP},\n pages = {491-564},\n title = {Modeling Norm Dynamics in Multiagent Systems},\n volume = {5},\n year = {2018}\n}\n'}",,"{'volume': '5', 'pages': '491-564', 'name': 'FLAP'}",0.0,Modeling Norm Dynamics in Multiagent Systems,2018.0
687,38313dd4fbe9108e602cc70b76e35fd425cea5a2,"In this paper, an intelligent navigation system for autonomous land vehicles (ALV) using hierarchical terrain representation has been developed which can successfully negotiate an obstacle and threat-laden terrain, even if nothing is known beforehand about the terrain. The ALV stores new information in its memory as it travels, has the ability to backtrack out of unexpected dead ends, and performs spontaneous decision-making in the field based on local sensor readings. The optimal global route of the ALV journey is obtained using dynamic programming, and decision-making is accomplished via a production rule-based system. Execution examples demonstrate the power of the prototype system to solving navigation problems. This establishes the feasibility of constructing a valid ALV by combining search techniques with artificial intelligence tools such as production rule-based systems.","[{'authorId': '3453694', 'name': 'Nark B. Metea'}, {'authorId': '145118476', 'name': 'J. Tsai'}]",22.0,"{'bibtex': '@Article{Metea1987RoutePF,\n author = {Nark B. Metea and J. Tsai},\n journal = {Proceedings. 1987 IEEE International Conference on Robotics and Automation},\n pages = {1947-1952},\n title = {Route planning for intelligent autonomous land vehicles using hierarchical terrain representation},\n volume = {4},\n year = {1987}\n}\n'}",,"{'volume': '4', 'pages': '1947-1952', 'name': 'Proceedings. 1987 IEEE International Conference on Robotics and Automation'}",6.0,Route planning for intelligent autonomous land vehicles using hierarchical terrain representation,1987.0
688,3839a6a41e863151e380e3aa80fdbe594231a8dc,,"[{'authorId': '2239842555', 'name': 'W. Scott Neal Reilly'}]",44.0,"{'bibtex': '@Inproceedings{Reilly1997AMF,\n author = {W. Scott Neal Reilly},\n pages = {114-121},\n title = {A methodology for building believable social agents},\n year = {1997}\n}\n'}",,{'pages': '114-121'},14.0,A methodology for building believable social agents,1997.0
690,3840ecff1e0a35359be3409612df7f12b251aad8,"Apathy is a common neuropsychiatric symptom in Alzheimer's disease dementia and amnestic mild cognitive impairment and is associated with cortical atrophy in Alzheimer's disease dementia. This study investigated possible correlations between apathy and cortical atrophy in 47 individuals with mild cognitive impairment and 19 clinically normal elderly. Backward elimination multivariate linear regression was used to evaluate the cross-sectional relationship between scores on the Apathy Evaluation Scale and thickness of several cortical regions and covariates. Lower inferior temporal cortical thickness was predictive of greater apathy. Greater anterior cingulate cortical thickness was also predictive of greater apathy, suggesting an underlying reactive process.","[{'authorId': '6855495', 'name': 'B. Guercio'}, {'authorId': '4181598', 'name': 'Nancy J. Donovan'}, {'authorId': '1946495146', 'name': 'Andrew M. Ward'}, {'authorId': '2442664', 'name': 'A. Schultz'}, {'authorId': '4001133', 'name': 'Natacha Lorius'}, {'authorId': '5217438', 'name': 'R. Amariglio'}, {'authorId': '2147040', 'name': 'D. Rentz'}, {'authorId': '32207254', 'name': 'Keith A. Johnson'}, {'authorId': '2289371', 'name': 'R. Sperling'}, {'authorId': '4205480', 'name': 'G. Marshall'}]",53.0,"{'bibtex': '@Article{Guercio2015ApathyIA,\n author = {B. Guercio and Nancy J. Donovan and Andrew M. Ward and A. Schultz and Natacha Lorius and R. Amariglio and D. Rentz and Keith A. Johnson and R. Sperling and G. Marshall},\n journal = {The Journal of neuropsychiatry and clinical neurosciences},\n pages = {\n          e22-7\n        },\n title = {Apathy is associated with lower inferior temporal cortical thickness in mild cognitive impairment and normal elderly individuals.},\n volume = {27 1},\n year = {2015}\n}\n'}",,"{'volume': '27 1', 'pages': '\n          e22-7\n        ', 'name': 'The Journal of neuropsychiatry and clinical neurosciences'}",41.0,Apathy is associated with lower inferior temporal cortical thickness in mild cognitive impairment and normal elderly individuals.,2015.0
691,385b930425a8094fcad9823391f86d46b797b475,"The game nicknamed ‘Prisoner’s Dilemma’ by A.W. Tucker has attracted wide attention, doubtless because it has raised doubts about the universal applicability of the so called Sure-thing Principle as a principle of rational decision.","[{'authorId': '48184297', 'name': 'A. Rapoport'}, {'authorId': '48698892', 'name': 'Albert M. Chammah'}]",861.0,"{'bibtex': ""@Inproceedings{Rapoport1965PrisonersD,\n author = {A. Rapoport and Albert M. Chammah},\n title = {Prisoner's Dilemma},\n year = {1965}\n}\n""}",,"{'volume': '', 'name': ''}",1.0,Prisoner's Dilemma,1965.0
692,386a9e874a485f9152d6bab21691454aa9912d49,"The “behavioral approach system” (BAS) (Gray, 1990) has been primarily associated with reward processing and positive affect. However, additional research has demonstrated that the BAS plays a role in aggressive behavior, heightened experience of anger, and increased attention to facial signals of aggression. Using functional magnetic resonance imaging, we show that variation in the BAS trait in healthy participants predicts activation in neural regions implicated in aggression when participants view facial signals of aggression in others. Increased BAS drive (appetitive motivation) was associated with increased amygdala activation and decreased ventral anterior cingulate and ventral striatal activation to facial signals of aggression, relative to sad and neutral expressions. In contrast, increased behavioral inhibition was associated with increased activation in the dorsal anterior cingulate, a region involved in the perception of fear and threat. Our results provide the first demonstration that appetitive motivation constitutes a significant factor governing the function of neural regions implicated in aggression, and have implications for understanding clinical disorders of aggression.","[{'authorId': '2814252', 'name': 'J. Beaver'}, {'authorId': '145422979', 'name': 'A. Lawrence'}, {'authorId': '2946383', 'name': 'L. Passamonti'}, {'authorId': '2825775', 'name': 'A. Calder'}]",138.0,"{'bibtex': '@Article{Beaver2008AppetitiveMP,\n author = {J. Beaver and A. Lawrence and L. Passamonti and A. Calder},\n journal = {The Journal of Neuroscience},\n pages = {2719 - 2725},\n title = {Appetitive Motivation Predicts the Neural Response to Facial Signals of Aggression},\n volume = {28},\n year = {2008}\n}\n'}",,"{'volume': '28', 'pages': '2719 - 2725', 'name': 'The Journal of Neuroscience'}",80.0,Appetitive Motivation Predicts the Neural Response to Facial Signals of Aggression,2008.0
693,38a0fa90a395661f51f749cf42ce5f5de2c41d98,"That being said, the book does contain information that deals in all facets of animation, and, sometimes, on the wider scale of dramatic and literary techniques relating to the visual medium. Since animation is essentially a unification of film, acting, drawing, and writing, techniques from all four are important. This book does contain the twelve principles of animation essentially, several key elements to any good animation, which are employed by any good animator, in anything from Disneys Steamboat Willie to Pixars Up.","[{'authorId': '145094550', 'name': 'F. Thomas'}, {'authorId': '145812012', 'name': 'Ollie Johnston'}]",868.0,"{'bibtex': '@Inproceedings{Thomas1981TheIO,\n author = {F. Thomas and Ollie Johnston},\n title = {The illusion of life : Disney animation},\n year = {1981}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,The illusion of life : Disney animation,1981.0
694,38a20b885d52d364d388f9f83d3941c0f874f322,"OBJECTIVE
This research focuses on the potential ability of animated avatars (a digital representation of the user) and virtual agents (a digital representation of a coach, buddy, or teacher) to deliver computer-based interventions for adolescents' chronic weight management. An exploration of the acceptance and desire of teens to interact with avatars and virtual agents for self-management and behavioral modification was undertaken.


MATERIALS AND METHODS
The utilized approach was inspired by community-based participatory research. Data was collected from 2 phases: Phase 1) focus groups with teens, provider interviews, parent interviews; and Phase 2) mid-range prototype assessment by teens and providers.


RESULTS
Data from all stakeholder groups expressed great interest in avatars and virtual agents assisting self-management efforts. Adolescents felt the avatars and virtual agents could: 1) reinforce guidance and support, 2) fit within their lifestyle, and 3) help set future goals, particularly after witnessing the effect of their current behavior(s) on the projected physical appearance (external and internal organs) of avatars. Teens wanted 2 virtual characters: a virtual agent to act as a coach or teacher and an avatar (extension of themselves) to serve as a ""buddy"" for empathic support and guidance and as a surrogate for rewards. Preferred modalities for use include both mobile devices to accommodate access and desktop to accommodate preferences for maximum screen real estate to support virtualization of functions that are more contemplative and complex (e.g., goal setting). Adolescents expressed a desire for limited co-user access, which they could regulate. Data revealed certain barriers and facilitators that could affect adoption and use.


DISCUSSION
The current study extends the support of teens, parents, and providers for adding avatars or virtual agents to traditional computer-based interactions. Data supports the desire for a personal relationship with a virtual character in support of previous studies. The study provides a foundation for further work in the area of avatar-driven motivational interviewing.


CONCLUSIONS
This study provides evidence supporting the use of avatars and virtual agents, designed using participatory approaches, to be included in the continuum of care. Increased probability of engagement and long-term retention of overweight, obese adolescent users and suggests expanding current chronic care models toward more comprehensive, socio-technical representations.","[{'authorId': '1750842', 'name': 'C. LeRouge'}, {'authorId': '3343024', 'name': 'Kathryn Dickhut'}, {'authorId': '1779199', 'name': 'C. Lisetti'}, {'authorId': '3459376', 'name': 'Savitha Sangameswaran'}, {'authorId': '3459243', 'name': 'T. Malasanos'}]",51.0,"{'bibtex': '@Article{LeRouge2016EngagingAI,\n author = {C. LeRouge and Kathryn Dickhut and C. Lisetti and Savitha Sangameswaran and T. Malasanos},\n journal = {Journal of the American Medical Informatics Association : JAMIA},\n pages = {\n          19-28\n        },\n title = {Engaging adolescents in a computer-based weight management program: avatars and virtual coaches could help},\n volume = {23 1},\n year = {2016}\n}\n'}",,"{'volume': '23 1', 'pages': '\n          19-28\n        ', 'name': 'Journal of the American Medical Informatics Association : JAMIA'}",40.0,Engaging adolescents in a computer-based weight management program: avatars and virtual coaches could help,2016.0
695,38a9f63f23f33084ddeb08006fb118fe751480fe,"In this paper we introduce ALMA - A Layered Model of Affect. It integrates three major affective characteristics: emotions, moods and personality that cover short, medium, and long term affect. The use of this model consists of two phases: In the preparation phase appraisal rules and personality profiles for characters must be specified with the help of AffectML - our XML based affect modeling language. In the runtime phase, the specified appraisal rules are used to compute real-time emotions and moods as results of a subjective appraisal of relevant input. The computed affective characteristics are represented in AffectML and can be processed by sub-sequent modules that control the cognitive processes and physical behavior of embodied conversational characters. ALMA is part of the VirtualHuman project which develops interactive virtual characters that serve as dialog partners with human-like conversational skills. ALMA provides our virtual humans with a personality profile and with real-time emotions and moods. These are used by the multimodal behavior generation module to enrich the lifelike and believable qualities.","[{'authorId': '48785659', 'name': 'Patrick Gebhard'}]",466.0,"{'bibtex': '@Inproceedings{Gebhard2005ALMAAL,\n author = {Patrick Gebhard},\n pages = {29-36},\n title = {ALMA: a layered model of affect},\n year = {2005}\n}\n'}",,{'pages': '29-36'},31.0,ALMA: a layered model of affect,2005.0
702,38bb261f5c0f7d5d150e7b306deec46544729908,,"[{'authorId': '2064945', 'name': 'A. Moors'}, {'authorId': '4367292', 'name': 'P. Ellsworth'}, {'authorId': '2462740', 'name': 'K. Scherer'}, {'authorId': '49584958', 'name': 'N. Frijda'}]",934.0,"{'bibtex': '@Article{Moors2013AppraisalTO,\n author = {A. Moors and P. Ellsworth and K. Scherer and N. Frijda},\n journal = {Emotion Review},\n pages = {119 - 124},\n title = {Appraisal Theories of Emotion: State of the Art and Future Development},\n volume = {5},\n year = {2013}\n}\n'}",,"{'volume': '5', 'pages': '119 - 124', 'name': 'Emotion Review'}",71.0,Appraisal Theories of Emotion: State of the Art and Future Development,2013.0
703,38c465d415ca2b3f5225f36230347c8ebbd89768,,"[{'authorId': '33432486', 'name': 'Mei Si'}, {'authorId': '1788771', 'name': 'S. Marsella'}, {'authorId': '1748597', 'name': 'D. Pynadath'}]",57.0,"{'bibtex': '@Inproceedings{Si2006ThespianMS,\n author = {Mei Si and S. Marsella and D. Pynadath},\n pages = {369-382},\n title = {Thespian: Modeling Socially Normative Behavior in a Decision-Theoretic Framework},\n year = {2006}\n}\n'}",,{'pages': '369-382'},26.0,Thespian: Modeling Socially Normative Behavior in a Decision-Theoretic Framework,2006.0
704,3906485099c38d66ca4190e89fb308b08ad03bde,"Gandalf is a fully autonomous, humanoid agent that perceives a user's multimodal actsNspeech, prosody, manual gesture, body language, gazeNand generates appropriate multimodal responses to these in real-time (speech, gaze, facial & manual gesture & head movement). Gandalf has knowledge about the solar system and can travel to and tell users about the planets and moons with speech and gesture. Gandalf demonstrates a coherent framework for psychosoical dialogue skills which enables the production of concurrent reactive and reflective behaviors and planning of communicative acts, with response cycles analogous to those found in human face-to-face dialogue, from 1/6th of a second and up. Gandalf has been tested in interaction with humans and shown to be capable of supporting and sustaining multimodal, situated, real-time dialogue. Content Areas: Interaction between people and agents, face-to-face communication, action selection and planning, real-time performance, synthetic agents.","[{'authorId': '1727838', 'name': 'K. Thórisson'}]",97.0,"{'bibtex': '@Inproceedings{Thórisson1997GandalfAE,\n author = {K. Thórisson},\n pages = {536-537},\n title = {Gandalf: an embodied humanoid capable of real-time multimodal dialogue with people},\n year = {1997}\n}\n'}",,{'pages': '536-537'},7.0,Gandalf: an embodied humanoid capable of real-time multimodal dialogue with people,1997.0
705,3921f459a9ee26827963abc4abf013b4cc9cbd32,"We present an example‐based crowd simulation technique. Most crowd simulation techniques assume that the behavior exhibited by each person in the crowd can be defined by a restricted set of rules. This assumption limits the behavioral complexity of the simulated agents. By learning from real‐world examples, our autonomous agents display complex natural behaviors that are often missing in crowd simulations. Examples are created from tracked video segments of real pedestrian crowds. During a simulation, autonomous agents search for examples that closely match the situation that they are facing. Trajectories taken by real people in similar situations, are copied to the simulated agents, resulting in seemingly natural behaviors.","[{'authorId': '39149037', 'name': 'Alon Lerner'}, {'authorId': '1706408', 'name': 'Y. Chrysanthou'}, {'authorId': '1684384', 'name': 'Dani Lischinski'}]",894.0,"{'bibtex': '@Article{Lerner2007CrowdsBE,\n author = {Alon Lerner and Y. Chrysanthou and Dani Lischinski},\n journal = {Computer Graphics Forum},\n title = {Crowds by Example},\n volume = {26},\n year = {2007}\n}\n'}",,"{'volume': '26', 'name': 'Computer Graphics Forum'}",33.0,Crowds by Example,2007.0
706,3922d7f8862f89248c2a09533e8ccd130b35d1ed,"Numerous studies in social psychology have shown that familiarization across repeated interactions improves people’s perception of the other. If and how these findings relate to human-robot interaction (HRI) is not well understood, even though such knowledge is crucial when pursuing long-term interactions. In our work, we investigate the persistence of first impressions by asking 49 participants to play a geography game with a robot. We measure how their perception of the robot changes over three sessions with three to ten days of zero exposure in between. Our results show that different perceptual dimensions stabilize within different time frames, with the robot’s competence being the fastest to stabilize and perceived threat the most fluctuating over time. We also found evidence that perceptual differences between robots with varying levels of humanlikeness persist across repeated interactions. This study has important implications for HRI design as it sheds new light on the influence of robots’ embodiment and interaction abilities. Moreover, it also impacts HRI theory as it presents novel findings contributing to research on the uncanny valley and robot perception in general. CCS CONCEPTS •Human-centered computing → Empirical studies in HCI; Natural language interfaces; •Computer systems organization →Robotics; •Computing methodologies →Intelligent agents. ACM Reference Format: Maike Paetzel, Giulia Perugia, and Ginevra Castellano. 2020. The Persistence of First Impressions: The Effect of Repeated Interactions on the Perception of a Social Robot. In Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction (HRI ’20), March 23–26, 2020, Cambridge, United Kingdom. ACM, New York, NY, USA, 10 pages. https://doi.org/10.1145/ 3319502.3374786","[{'authorId': '2710492', 'name': 'Maike Paetzel'}, {'authorId': '1556566185', 'name': 'G. Perugia'}, {'authorId': '39540970', 'name': 'Ginevra Castellano'}]",55.0,"{'bibtex': '@Article{Paetzel2020ThePO,\n author = {Maike Paetzel and G. Perugia and Ginevra Castellano},\n journal = {2020 15th ACM/IEEE International Conference on Human-Robot Interaction (HRI)},\n pages = {73-82},\n title = {The Persistence of First Impressions: The Effect of Repeated Interactions on the Perception of a Social Robot},\n year = {2020}\n}\n'}",,"{'pages': '73-82', 'name': '2020 15th ACM/IEEE International Conference on Human-Robot Interaction (HRI)'}",61.0,The Persistence of First Impressions: The Effect of Repeated Interactions on the Perception of a Social Robot,2020.0
707,392446af8e704efcc2b795309275b3006a21ee5e,"ABSTRACT Emotional events tend to be remembered better than neutral events, but emotional states and stimuli may also interfere with cognitive processes that underlie memory performance. The current study investigated the effects of emotional content on working memory capacity (WMC), which involves both short term storage and executive attention control. We tested competing hypotheses in a preregistered experiment (N = 297). The emotional enhancement hypothesis predicts that emotional stimuli attract attention and additional processing resources relative to neutral stimuli, thereby making it easier to encode and store emotional information in WMC. The emotional impairment hypothesis, by contrast, predicts that emotional stimuli interfere with attention control and the active maintenance of information in working memory. Participants completed a common measure of WMC (the operation span task; Turner, M. L., & Engle, R. W. [1989]. Is working memory capacity task dependent? Journal of Memory and Language, 28, 127–154) that included either emotional or neutral words. Results revealed that WMC was reduced for emotional words relative to neutral words, consistent with the emotional impairment hypothesis.","[{'authorId': '19194781', 'name': 'Katie E Garrison'}, {'authorId': '4555303', 'name': 'B. Schmeichel'}]",22.0,"{'bibtex': '@Article{Garrison2019EffectsOE,\n author = {Katie E Garrison and B. Schmeichel},\n journal = {Cognition and Emotion},\n pages = {370 - 377},\n title = {Effects of emotional content on working memory capacity},\n volume = {33},\n year = {2019}\n}\n'}",,"{'volume': '33', 'pages': '370 - 377', 'name': 'Cognition and Emotion'}",33.0,Effects of emotional content on working memory capacity,2019.0
708,39271ddb2c8a40e5d4d8430d7e24b1498ef4f944,"Multiplicity of behavior features gives rise to its different interpretations (in addition to behavior vagueness and ambiguity typically studied in social cognition research). Particularly, identical actions are construable both in moral and competence-related categories due to distinct behavioral features underlying each of these interpretations. It was hypothesized that the two construals are alternatively used by the perceiver. Because of perspective-dependent differences in accessibility and applicability of competence and moral categories, it was hypothesized that actors interpret their own behavior in competence terms, whereas observers interpret it in moral categories, and that within the actor perspective, competence construal is used to a higher degree by male than female perceivers, but the opposite is true for moral construal","[{'authorId': '2585858', 'name': 'B. Wojciszke'}]",302.0,"{'bibtex': '@Article{Wojciszke1994MultipleMO,\n author = {B. Wojciszke},\n journal = {Journal of Personality and Social Psychology},\n pages = {222-232},\n title = {Multiple meanings of behavior: Construing actions in terms of competence or morality.},\n volume = {67},\n year = {1994}\n}\n'}",,"{'volume': '67', 'pages': '222-232', 'name': 'Journal of Personality and Social Psychology'}",34.0,Multiple meanings of behavior: Construing actions in terms of competence or morality.,1994.0
709,392917176507d775d840e9532f1beadd0b74cf27,,"[{'authorId': '144931305', 'name': 'R. Cooper'}, {'authorId': '144380860', 'name': 'M. Press'}]",11.0,"{'bibtex': '@Inproceedings{Cooper2016TheDE,\n author = {R. Cooper and M. Press},\n title = {The Design Experience},\n year = {2016}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,The Design Experience,2016.0
710,39447676a45d3ddb31bf19ab0c9885ed24a2d57d,,"[{'authorId': '25550816', 'name': 'A. L. Baylor'}]",162.0,"{'bibtex': '@Article{Baylor2011TheDO,\n author = {A. L. Baylor},\n journal = {Educational Technology Research and Development},\n pages = {291-300},\n title = {The design of motivational agents and avatars},\n volume = {59},\n year = {2011}\n}\n'}",,"{'volume': '59', 'pages': '291-300', 'name': 'Educational Technology Research and Development'}",52.0,The design of motivational agents and avatars,2011.0
