,paperId,title,abstract,year,referenceCount,citationCount,isOpenAccess,openAccessPdf,journal,citationStyles,authors
66,06041d2a5e0fdc38d38a0b5c93f5fb4a125698ec,"Studying social interactions through immersive virtual environment technology: virtues, pitfalls, and future challenges","The goal of the present review is to explain how immersive virtual environment technology (IVET) can be used for the study of social interactions and how the use of virtual humans in immersive virtual environments can advance research and application in many different fields. Researchers studying individual differences in social interactions are typically interested in keeping the behavior and the appearance of the interaction partner constant across participants. With IVET researchers have full control over the interaction partners, can standardize them while still keeping the simulation realistic. Virtual simulations are valid: growing evidence shows that indeed studies conducted with IVET can replicate some well-known findings of social psychology. Moreover, IVET allows researchers to subtly manipulate characteristics of the environment (e.g., visual cues to prime participants) or of the social partner (e.g., his/her race) to investigate their influences on participants’ behavior and cognition. Furthermore, manipulations that would be difficult or impossible in real life (e.g., changing participants’ height) can be easily obtained with IVET. Beside the advantages for theoretical research, we explore the most recent training and clinical applications of IVET, its integration with other technologies (e.g., social sensing) and future challenges for researchers (e.g., making the communication between virtual humans and participants smoother).",2015.0,83.0,102.0,True,"{'url': 'https://www.frontiersin.org/articles/10.3389/fpsyg.2015.00869/pdf', 'status': None}","{'volume': '6', 'name': 'Frontiers in Psychology'}","{'bibtex': '@Article{Bombari2015StudyingSI,\n author = {Dario Bombari and M. Schmid Mast and Elena Cañadas and Manuel Bachmann},\n journal = {Frontiers in Psychology},\n title = {Studying social interactions through immersive virtual environment technology: virtues, pitfalls, and future challenges},\n volume = {6},\n year = {2015}\n}\n'}","[{'authorId': '5983047', 'name': 'Dario Bombari'}, {'authorId': '2284257', 'name': 'M. Schmid Mast'}, {'authorId': '4036594', 'name': 'Elena Cañadas'}, {'authorId': '2056606805', 'name': 'Manuel Bachmann'}]"
67,06177ec5a24b4bcea1a457c6015a7f73453762b9,A comparative analysis of machine learning methods for emotion recognition using EEG and peripheral physiological signals,,2020.0,41.0,70.0,False,,"{'volume': '7', 'pages': '1-21', 'name': 'Journal of Big Data'}","{'bibtex': '@Article{Doma2020ACA,\n author = {Vikrant Doma and Matin Pirouz},\n journal = {Journal of Big Data},\n pages = {1-21},\n title = {A comparative analysis of machine learning methods for emotion recognition using EEG and peripheral physiological signals},\n volume = {7},\n year = {2020}\n}\n'}","[{'authorId': '1557824014', 'name': 'Vikrant Doma'}, {'authorId': '145964270', 'name': 'Matin Pirouz'}]"
68,062360fa270e2b30739363f5a219114d9a1c2a9f,Eye Tracking Methodology Theory And Practice,,2016.0,0.0,146.0,False,,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Winkel2016EyeTM,\n author = {A. Winkel},\n title = {Eye Tracking Methodology Theory And Practice},\n year = {2016}\n}\n'}","[{'authorId': '82301100', 'name': 'A. Winkel'}]"
69,0629b3489ad2e67211691ed9d07c0fd0ca1b5a73,Cross-Cultural Emotion Recognition among Canadian Ethnic Groups,"This study aims to investigate cultural differences in recognition accuracy as well as the in-group advantage hypothesis for emotion recognition among sub-Saharan African, Chinese, and French Canadian individuals living in Canada. The participants viewed expressions of happiness, anger, sadness, fear, disgust, and shame selected from the Montreal Set of Facial Displays of Emotion. These data did not support the in-group advantage hypothesis under the condition of stimulus equivalence. However, both encoder and decoder effects were found. Specifically, French Canadians were more accurate for the decoding of expressions of shame and sadness. Moreover, fear expressions were best recognized when shown by sub-Saharan Africans, suggesting an effect of salience of expressive cues due to morphological features of the face.",2005.0,35.0,285.0,False,,"{'volume': '36', 'pages': '355 - 370', 'name': 'Journal of Cross-Cultural Psychology'}","{'bibtex': '@Article{Beaupré2005CrossCulturalER,\n author = {Martin G. Beaupré and U. Hess},\n journal = {Journal of Cross-Cultural Psychology},\n pages = {355 - 370},\n title = {Cross-Cultural Emotion Recognition among Canadian Ethnic Groups},\n volume = {36},\n year = {2005}\n}\n'}","[{'authorId': '5868984', 'name': 'Martin G. Beaupré'}, {'authorId': '3067657', 'name': 'U. Hess'}]"
70,062be145b254cc7b41f92fbf32df0de09de2e2a9,Unpleasantness of animated characters corresponds to increased viewer attention to faces,"Animated characters are frequently used in television programs, movies, and video games, but relatively little is known about how their characteristics affect attention and viewer opinions. We used eyetracking and questionnaires to examine the role of visual complexity and animation style on viewing patterns and ratings of video-recorded and animated movie clips. We created videos of an actress performing and describing a series of actions with blocks. Of the videos, one set included regular HD recordings of the actress. The remaining video sets were animated using motion capture data from that actress for three characters: realistic, cartoon, and robot. Increased facial looking time correlated with unpleasantness ratings for individual characters and clips, determining that animation styles have an effect on both viewing patterns and audience members' subjective opinions of characters. In addition, the method described in this paper can expand future research on character animation.",2013.0,26.0,20.0,False,,{'name': 'Proceedings of the ACM Symposium on Applied Perception'},"{'bibtex': '@Article{Carter2013UnpleasantnessOA,\n author = {E. Carter and Moshe Mahler and J. Hodgins},\n journal = {Proceedings of the ACM Symposium on Applied Perception},\n title = {Unpleasantness of animated characters corresponds to increased viewer attention to faces},\n year = {2013}\n}\n'}","[{'authorId': '32134175', 'name': 'E. Carter'}, {'authorId': '30303590', 'name': 'Moshe Mahler'}, {'authorId': '1788773', 'name': 'J. Hodgins'}]"
71,062ccad7d8882c662525b884c9fcd83f46839999,Interactive and adaptive data-driven crowd simulation,We present an adaptive data-driven algorithm for interactive crowd simulation. Our approach combines realistic trajectory behaviors extracted from videos with synthetic multi-agent algorithms to generate plausible simulations. We use statistical techniques to compute the movement patterns and motion dynamics from noisy 2D trajectories extracted from crowd videos. These learned pedestrian dynamic characteristics are used to generate collision-free trajectories of virtual pedestrians in slightly different environments or situations. The overall approach is robust and can generate perceptually realistic crowd movements at interactive rates in dynamic environments. We also present results from preliminary user studies that evaluate the trajectory behaviors generated by our algorithm.,2016.0,48.0,45.0,False,,"{'pages': '29-38', 'name': '2016 IEEE Virtual Reality (VR)'}","{'bibtex': '@Article{Kim2016InteractiveAA,\n author = {Sujeong Kim and Aniket Bera and A. Best and Rohan Chabra and Dinesh Manocha},\n journal = {2016 IEEE Virtual Reality (VR)},\n pages = {29-38},\n title = {Interactive and adaptive data-driven crowd simulation},\n year = {2016}\n}\n'}","[{'authorId': '52162164', 'name': 'Sujeong Kim'}, {'authorId': '2718563', 'name': 'Aniket Bera'}, {'authorId': '10817944', 'name': 'A. Best'}, {'authorId': '3428200', 'name': 'Rohan Chabra'}, {'authorId': '1699159', 'name': 'Dinesh Manocha'}]"
72,0632ed2d7a9830bb3b09d8b2124b08a00b34adc3,Emotion Recognition and Its Applications,,2014.0,20.0,98.0,False,,"{'volume': '300', 'pages': '51-62', 'name': 'Advances in intelligent systems and computing'}","{'bibtex': '@Article{Kołakowska2014EmotionRA,\n author = {A. Kołakowska and A. Landowska and M. Szwoch and W. Szwoch and M. Wróbel},\n journal = {Advances in intelligent systems and computing},\n pages = {51-62},\n title = {Emotion Recognition and Its Applications},\n volume = {300},\n year = {2014}\n}\n'}","[{'authorId': '1809661', 'name': 'A. Kołakowska'}, {'authorId': '2414357', 'name': 'A. Landowska'}, {'authorId': '3271448', 'name': 'M. Szwoch'}, {'authorId': '3175073', 'name': 'W. Szwoch'}, {'authorId': '34487194', 'name': 'M. Wróbel'}]"
73,064887d3ca4532602c1212387d63e741a32ea909,Towards Behavioral Consistency in Animated Agents,,2000.0,39.0,21.0,True,"{'url': 'https://link.springer.com/content/pdf/10.1007%2F978-0-306-47002-8_17.pdf', 'status': None}",{'pages': '191-205'},"{'bibtex': '@Inproceedings{Allbeck2000TowardsBC,\n author = {J. Allbeck and N. Badler},\n pages = {191-205},\n title = {Towards Behavioral Consistency in Animated Agents},\n year = {2000}\n}\n'}","[{'authorId': '1855748', 'name': 'J. Allbeck'}, {'authorId': '1699200', 'name': 'N. Badler'}]"
74,0651fe99cc587614c660d9d962584b8265c22807,MURML: A Multimodal Utterance Representation Markup Language for Conversational Agents,"This paper presents work on an artificial anthropomorphic agent with multimodal interaction abilitities. It focuses on the development of a markup language, MURML, that bridges between the planning and the animation tasks in the production of multimodal utterances. This hierarchically structured notation provides flexible means of describing gestures in a form-based way and of explicitly experessing their relations to accompanying speech.",2002.0,0.0,109.0,False,,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Kranstedt2002MURMLAM,\n author = {Alfred Kranstedt and S. Kopp and I. Wachsmuth},\n title = {MURML: A Multimodal Utterance Representation Markup Language for Conversational Agents},\n year = {2002}\n}\n'}","[{'authorId': '2165508', 'name': 'Alfred Kranstedt'}, {'authorId': '5864138', 'name': 'S. Kopp'}, {'authorId': '1721018', 'name': 'I. Wachsmuth'}]"
75,067154497bfcc3cc369a61784155d5fa32b5966f,Treatment adherence therapy in people with psychotic disorders: randomised controlled trial.,"BACKGROUND
Interventions to improve adherence to treatment in people with psychotic disorders have produced inconclusive results. We developed a new treatment, treatment adherence therapy (TAT), whose intervention modules are tailored to the reasons for an individual's non-adherence.


AIMS
To examine the effectiveness of TAT with regard to service engagement and medication adherence in out-patients with psychotic disorders who engage poorly.


METHOD
Randomised controlled study of TAT v. treatment as usual (TAU) in 109 out-patients. Most outcome measurements were performed by masked assessors. We used intention-to-treat multivariate analyses (Dutch Trial Registry: NTR1159).


RESULTS
Treatment adherence therapy v. TAU significantly benefited service engagement (Cohen's d = 0.48) and medication adherence (Cohen's d = 0.43). Results remained significant at 6-month follow-up for medication adherence. Near-significant effects were also found regarding involuntary readmissions (1.9% v. 11.8%, P = 0.053). Symptoms and quality of life did not improve.


CONCLUSIONS
Treatment adherence therapy helps improve engagement and adherence, and may prevent involuntary admission.",2010.0,46.0,116.0,True,"{'url': 'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8D4D120315A952F661BD3C5B334F986D/S0007125000253804a.pdf/div-class-title-treatment-adherence-therapy-in-people-with-psychotic-disorders-randomised-controlled-trial-div.pdf', 'status': None}","{'volume': '197 6', 'pages': '\n          448-55\n        ', 'name': 'The British journal of psychiatry : the journal of mental science'}","{'bibtex': '@Article{Staring2010TreatmentAT,\n author = {A. Staring and M. Gaag and G. Koopmans and J. Selten and J. V. Beveren and M. Hengeveld and A. Loonen and C. Mulder},\n journal = {The British journal of psychiatry : the journal of mental science},\n pages = {\n          448-55\n        },\n title = {Treatment adherence therapy in people with psychotic disorders: randomised controlled trial.},\n volume = {197 6},\n year = {2010}\n}\n'}","[{'authorId': '5628900', 'name': 'A. Staring'}, {'authorId': '145958551', 'name': 'M. Gaag'}, {'authorId': '4003746', 'name': 'G. Koopmans'}, {'authorId': '48944283', 'name': 'J. Selten'}, {'authorId': '81751978', 'name': 'J. V. Beveren'}, {'authorId': '1994652', 'name': 'M. Hengeveld'}, {'authorId': '33615601', 'name': 'A. Loonen'}, {'authorId': '4372174', 'name': 'C. Mulder'}]"
76,0671a660167b7b9b925e4709c08a57da6d84d910,Evaluating the effect of emotion on gender recognition in virtual humans,"In this paper, we investigate the ability of humans to determine the gender of conversing characters, based on facial and body cues for emotion. We used a corpus of simultaneously captured facial and body motions from four male and four female actors. In our Gender Rating task, participants were asked to rate how male or female they considered the motions to be, under different emotional states. In our Emotion Recognition task, participants were asked to classify the emotions, in order to determine how accurately perceived those emotions were. We found that gender perception was affected by emotion, where certain emotions facilitated gender determination while others masked it. We also found that there was no correlation between how accurate an emotion was portrayed and how much gender information was present in that motion. Finally, we found that the model used to display the motion did not affect gender perception of motion but did alter emotion recognition.",2013.0,26.0,20.0,True,"{'url': 'http://people.rennes.inria.fr/Ludovic.Hoyet/Documents/Articles/SAP2013_EmotionGender.pdf', 'status': None}",{'name': 'Proceedings of the ACM Symposium on Applied Perception'},"{'bibtex': '@Article{Zibrek2013EvaluatingTE,\n author = {Katja Zibrek and Ludovic Hoyet and K. Ruhland and R. Mcdonnell},\n journal = {Proceedings of the ACM Symposium on Applied Perception},\n title = {Evaluating the effect of emotion on gender recognition in virtual humans},\n year = {2013}\n}\n'}","[{'authorId': '1710384', 'name': 'Katja Zibrek'}, {'authorId': '1869571', 'name': 'Ludovic Hoyet'}, {'authorId': '38592832', 'name': 'K. Ruhland'}, {'authorId': '145795454', 'name': 'R. Mcdonnell'}]"
77,0672092ecc507fb41d81e82d2986cf86c4bff14f,A recognition-primed decision (RPD) model of rapid decision making.,"Traditional models of decision making do not take into account many critical aspects of operational settings, as described in Chapter 1. Deci­ sion makers in operational settings are usually very experienced, in contrast to the naive subjects used in laboratory studies. In this chap­ ter I present a recognitional model of decision making that shows how people can use experience to avoid some of the limitations of analytical strategies. This model explains how people can make decisions without having to compare options. It fuses two processes-situation assess· ment and mental simulation-and asserts that people Wle situation assessment to generate a plausible course of action and use mental simulation to evaluate that course of action. I believe this recognition. al model describes how decision making is usually carried out in real­ world settings. This conclusion is based on a series of studies in which it was found that recognitional decision malting is much more common than analytical decision making. Finally, I contrast the strengths and weaknesses of recognitional and analytical decision strategies.",1993.0,0.0,1172.0,False,,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Klein1993ARD,\n author = {Gary Klein},\n title = {A recognition-primed decision (RPD) model of rapid decision making.},\n year = {1993}\n}\n'}","[{'authorId': '145320331', 'name': 'Gary Klein'}]"
78,0693cecba234b591169fdee7718116b4eb76fdca,A selective meta-analysis on the relative incidence of discrete affective states during learning with technology,"The last decade has witnessed considerable interest in the investigation of the affective dimensions of learning and in the development of advanced learning technologies that automatically detect and respond to student affect. Identifying the affective states that students experience in technology-enhanced learning contexts is a fundamental question in this area. This article provides an initial attempt to answer this question with a selective meta-analysis of 24 studies that utilized a mixture of methodologies (online self-reports, online observations, emote-aloud protocols, cued recall) and affect judges (students themselves, untrained peers, trained judges) for fine-grained monitoring of 14 discrete affective states of 1,740 middle school, high school, college, and adult students in 5 countries. Affective states occurred over the course of interactions with a range of learning technologies, including intelligent tutoring systems, serious games, simulation environments, and simple computer interfaces. Standardized effect sizes of relative frequency, computed by comparing the proportional occurrence of each affective state to the other states in each study, were modeled with random-effects models. Engagement/flow was consistently found to be relatively frequent (d+ = 2.5), and contempt, anger, disgust, sadness, anxiety, delight, fear, and surprise were consistently infrequent, with d+ ranging from −6.5 to −0.78. Effects for boredom (d+ = 0.19), confusion (d+ = 0.12), curiosity (d+ = −0.10), happiness (d+ = −0.13), and frustration (d+ = −2.5) varied substantially across studies. Mixed-effects models indicated that the source of the affect judgments (self vs. observers) and the authenticity of the learning contexts (classroom vs. laboratory) accounted for greater heterogeneity than the use of advanced learning technologies and training time. Theoretical and applied implications of the findings are discussed.",2013.0,102.0,238.0,False,,"{'volume': '105', 'pages': '1082-1099', 'name': 'Journal of Educational Psychology'}","{'bibtex': '@Article{D’Mello2013ASM,\n author = {S. D’Mello},\n journal = {Journal of Educational Psychology},\n pages = {1082-1099},\n title = {A selective meta-analysis on the relative incidence of discrete affective states during learning with technology},\n volume = {105},\n year = {2013}\n}\n'}","[{'authorId': '1383996606', 'name': 'S. D’Mello'}]"
79,069443f2bbeb2deedefb600c82ed59cde2137e60,"Analysis of emotion recognition using facial expressions, speech and multimodal information","The interaction between human beings and computers will be more natural if computers are able to perceive and respond to human non-verbal communication such as emotions. Although several approaches have been proposed to recognize human emotions based on facial expressions or speech, relatively limited work has been done to fuse these two, and other, modalities to improve the accuracy and robustness of the emotion recognition system. This paper analyzes the strengths and the limitations of systems based only on facial expressions or acoustic information. It also discusses two approaches used to fuse these two modalities: decision level and feature level integration. Using a database recorded from an actress, four emotions were classified: sadness, anger, happiness, and neutral state. By the use of markers on her face, detailed facial motions were captured with motion capture, in conjunction with simultaneous speech recordings. The results reveal that the system based on facial expression gave better performance than the system based on just acoustic information for the emotions considered. Results also show the complementarily of the two modalities and that when these two modalities are fused, the performance and the robustness of the emotion recognition system improve measurably.",2004.0,24.0,880.0,False,,{'pages': '205-211'},"{'bibtex': '@Inproceedings{Busso2004AnalysisOE,\n author = {C. Busso and Z. Deng and S. Yıldırım and M. Bulut and C. Lee and Ebrahim (Abe) Kazemzadeh and Sungbok Lee and U. Neumann and Shrikanth S. Narayanan},\n pages = {205-211},\n title = {Analysis of emotion recognition using facial expressions, speech and multimodal information},\n year = {2004}\n}\n'}","[{'authorId': '2106794', 'name': 'C. Busso'}, {'authorId': '145140508', 'name': 'Z. Deng'}, {'authorId': '1936287', 'name': 'S. Yıldırım'}, {'authorId': '38816202', 'name': 'M. Bulut'}, {'authorId': '2118656349', 'name': 'C. Lee'}, {'authorId': '1764265', 'name': 'Ebrahim (Abe) Kazemzadeh'}, {'authorId': '2108057415', 'name': 'Sungbok Lee'}, {'authorId': '143840663', 'name': 'U. Neumann'}, {'authorId': '145254843', 'name': 'Shrikanth S. Narayanan'}]"
80,06980c9e81382b0b479358f1423a9553c22c1dd2,Regions of the MPFC differentially tuned to social and nonsocial affective evaluation,,2007.0,56.0,92.0,True,"{'url': 'https://link.springer.com/content/pdf/10.3758/CABN.7.4.309.pdf', 'status': None}","{'volume': '7', 'pages': '309-316', 'name': 'Cognitive, Affective, & Behavioral Neuroscience'}","{'bibtex': '@Article{Harris2007RegionsOT,\n author = {L. Harris and Samuel M. McClure and W. Bos and J. Cohen and S. Fiske},\n journal = {Cognitive, Affective, & Behavioral Neuroscience},\n pages = {309-316},\n title = {Regions of the MPFC differentially tuned to social and nonsocial affective evaluation},\n volume = {7},\n year = {2007}\n}\n'}","[{'authorId': '3705092', 'name': 'L. Harris'}, {'authorId': '2751811', 'name': 'Samuel M. McClure'}, {'authorId': '39861124', 'name': 'W. Bos'}, {'authorId': '153564781', 'name': 'J. Cohen'}, {'authorId': '1885803', 'name': 'S. Fiske'}]"
81,06b3c99865869eec4ba54bd29de109b3ba153529,THE GENERALIZATION OF ‘STUDENT'S’ PROBLEM WHEN SEVERAL DIFFERENT POPULATION VARLANCES ARE INVOLVED,,1947.0,7.0,4038.0,False,,"{'volume': '34', 'pages': '28-35', 'name': 'Biometrika'}","{'bibtex': ""@Article{Bl1947THEGO,\n author = {Welch Bl},\n journal = {Biometrika},\n pages = {28-35},\n title = {THE GENERALIZATION OF ‘STUDENT'S’ PROBLEM WHEN SEVERAL DIFFERENT POPULATION VARLANCES ARE INVOLVED},\n volume = {34},\n year = {1947}\n}\n""}","[{'authorId': '66536451', 'name': 'Welch Bl'}]"
82,06c60807c9e95ce47770e1caff7f592760eeb78a,The Architecture of Why2-Atlas: A Coach for Qualitative Physics Essay Writing,,2002.0,25.0,249.0,False,,{'pages': '158-167'},"{'bibtex': '@Inproceedings{VanLehn2002TheAO,\n author = {K. VanLehn and Pamela W. Jordan and C. Rosé and Dumisizwe Bhembe and Michael Böttner and A. Gaydos and Maxim Makatchev and Umarani Pappuswamy and M. Ringenberg and Antonio Roque and Stephanie Siler and Ramesh Srivastava},\n pages = {158-167},\n title = {The Architecture of Why2-Atlas: A Coach for Qualitative Physics Essay Writing},\n year = {2002}\n}\n'}","[{'authorId': '1797292', 'name': 'K. VanLehn'}, {'authorId': '1730942', 'name': 'Pamela W. Jordan'}, {'authorId': '35959897', 'name': 'C. Rosé'}, {'authorId': '2888266', 'name': 'Dumisizwe Bhembe'}, {'authorId': '34612911', 'name': 'Michael Böttner'}, {'authorId': '47728940', 'name': 'A. Gaydos'}, {'authorId': '2200378', 'name': 'Maxim Makatchev'}, {'authorId': '2590575', 'name': 'Umarani Pappuswamy'}, {'authorId': '2267026', 'name': 'M. Ringenberg'}, {'authorId': '145753983', 'name': 'Antonio Roque'}, {'authorId': '2508756', 'name': 'Stephanie Siler'}, {'authorId': '2066943347', 'name': 'Ramesh Srivastava'}]"
83,06d754c74be430f56646055fbe5e6646777a9dd9,Tag Interactions in MultiAgent Systems: Environment Support,"Tag interactions are agent interactions that complement and differ from speech act communication models. Tags are public information that agents expose to others in the system to allow two types of interactions. Tag monitoring interactions let agents observe the tags of others actively. Tag fortuitous interactions make agents realize the tag of others with unrequested and application-dependent messages. In this paper we model tag interactions based on the agent environment and computational bodies to enact, maintain, and regulate their execution. We discuss the model and we identify further issues in the current state of the research. An example application is described in detail to show the potential of introducing tag interactions.",2006.0,29.0,23.0,False,,{'pages': '270-281'},"{'bibtex': '@Inproceedings{Platon2006TagII,\n author = {E. Platon and N. Sabouret and S. Honiden},\n pages = {270-281},\n title = {Tag Interactions in MultiAgent Systems: Environment Support},\n year = {2006}\n}\n'}","[{'authorId': '145697442', 'name': 'E. Platon'}, {'authorId': '1731432', 'name': 'N. Sabouret'}, {'authorId': '1720917', 'name': 'S. Honiden'}]"
84,06ee8b438d144c5db1f722f5143ecaaef63bcd46,"The positive and negative affect schedule (PANAS): construct validity, measurement properties and normative data in a large non-clinical sample.","OBJECTIVES
To evaluate the reliability and validity of the PANAS (Watson, Clark, & Tellegen, 1988b) and provide normative data.


DESIGN
Cross-sectional and correlational.


METHOD
The PANAS was administered to a non-clinical sample, broadly representative of the general adult UK population (N = 1,003). Competing models of the latent structure of the PANAS were evaluated using confirmatory factor analysis. Regression and correlational analysis were used to determine the influence of demographic variables on PANAS scores as well as the relationship between the PANAS with measures of depression and anxiety (the HADS and the DASS).


RESULTS
The best-fitting model (robust comparative fit index = .94) of the latent structure of the PANAS consisted of two correlated factors corresponding to the PA and NA scales, and permitted correlated error between items drawn from the same mood subcategories (Zevon & Tellegen, 1982). Demographic variables had only very modest influences on PANAS scores and the PANAS exhibited measurement invariance across demographic subgroups. The reliability of the PANAS was high, and the pattern of relationships between the PANAS and the DASS and HADS were consistent with tripartite theory.


CONCLUSION
The PANAS is a reliable and valid measure of the constructs it was intended to assess, although the hypothesis of complete independence between PA and NA must be rejected. The utility of this measure is enhanced by the provision of large-scale normative data.",2004.0,49.0,2608.0,True,"{'url': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1348/0144665031752934', 'status': None}","{'volume': '43 Pt 3', 'pages': '\n          245-65\n        ', 'name': 'The British journal of clinical psychology'}","{'bibtex': '@Article{Crawford2004ThePA,\n author = {J. Crawford and J. Henry},\n journal = {The British journal of clinical psychology},\n pages = {\n          245-65\n        },\n title = {The positive and negative affect schedule (PANAS): construct validity, measurement properties and normative data in a large non-clinical sample.},\n volume = {43 Pt 3},\n year = {2004}\n}\n'}","[{'authorId': '144723673', 'name': 'J. Crawford'}, {'authorId': '2149900272', 'name': 'J. Henry'}]"
85,07052d964fb858cf4b982100a4c7d8b00add3efc,Examining the impact of emotion and agency on negotiator behavior,"Virtual human expressions can shape user behavior [1, 2, 3], yet in negotiation, findings have been underwhelming. For example, human negotiators can use anger to claim value (i.e., extract concessions) [4], but anger has no effect when exhibited by a virtual human [5]. Other psychological work suggests that emotions can create value (e.g., happy negotiators can better discover tradeoffs across issues that ""grow the pie""), but little research has examined how virtual human expressions shape value creation. Here we present an agent architecture and pilot study that examines differences between how the emotional expressions of human and virtual-human opponents shape value claiming and value creation. We replicate the finding that virtual human anger fails to influence value claiming but discover counter-intuitive findings on value creation. We argue these findings highlight the potential for intelligent virtual humans to yield insight into human psychology.",2022.0,10.0,0.0,False,,{'name': 'Proceedings of the 22nd ACM International Conference on Intelligent Virtual Agents'},"{'bibtex': '@Article{Lee2022ExaminingTI,\n author = {Eugene Lee and Zachary McNulty and Alex Gentle and Prerak Tusharkumar Pradhan and J. Gratch},\n booktitle = {International Conference on Intelligent Virtual Agents},\n journal = {Proceedings of the 22nd ACM International Conference on Intelligent Virtual Agents},\n title = {Examining the impact of emotion and agency on negotiator behavior},\n year = {2022}\n}\n'}","[{'authorId': '2149209253', 'name': 'Eugene Lee'}, {'authorId': '2132855226', 'name': 'Zachary McNulty'}, {'authorId': '2183389468', 'name': 'Alex Gentle'}, {'authorId': '2183390749', 'name': 'Prerak Tusharkumar Pradhan'}, {'authorId': '145438097', 'name': 'J. Gratch'}]"
86,073973452ca9198831f0be1be0b8398005c13e7d,Optimal and efficient path planning for partially-known environments,"The task of planning trajectories for a mobile robot has received considerable attention in the research literature. Most of the work assumes the robot has a complete and accurate model of its environment before it begins to move; less attention has been paid to the problem of partially known environments. This situation occurs for an exploratory robot or one that must move to a goal location without the benefit of a floorplan or terrain map. Existing approaches plan an initial path based on known information and then modify the plan locally or replan the entire path as the robot discovers obstacles with its sensors, sacrificing optimality or computational efficiency respectively. This paper introduces a new algorithm, D*, capable of planning paths in unknown, partially known, and changing environments in an efficient, optimal, and complete manner.<<ETX>>",1994.0,14.0,1597.0,False,,"{'pages': '3310-3317 vol.4', 'name': 'Proceedings of the 1994 IEEE International Conference on Robotics and Automation'}","{'bibtex': '@Article{Stentz1994OptimalAE,\n author = {A. Stentz},\n journal = {Proceedings of the 1994 IEEE International Conference on Robotics and Automation},\n pages = {3310-3317 vol.4},\n title = {Optimal and efficient path planning for partially-known environments},\n year = {1994}\n}\n'}","[{'authorId': '1722938', 'name': 'A. Stentz'}]"
87,07496ef7c5f66957b9951e78d5e27009e89c101d,Social touch: stimuli-imitation protocol and automated recognition,"Touch plays an important role in socio-emotional communication: a loving hug from a spouse, a comforting tap on the back by friend, a push from a stranger convey efficiently an emotion or an intent, specially when combined with other modalities such as audition and vision. In a parent-child relationship, the frequency of maternal touch is positively correlated to the a child early social development. In addition, Touch occurs frequently in patient care situation: a massage therapy, for instance, reduces chronic pain and alleviates anxiety when properly applied by a nurse. Underexplored by the human-machine-interaction and the affective computing literature, the purpose of this thesis is to integrate the sense of touch into interactive systems. In this paper we introduce a novel data collection framework for social touch and present the social touch recognition pipeline.",2019.0,34.0,1.0,False,,"{'pages': '11-15', 'name': '2019 8th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW)'}","{'bibtex': '@Article{Elbani2019SocialTS,\n author = {Wail Elbani},\n journal = {2019 8th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW)},\n pages = {11-15},\n title = {Social touch: stimuli-imitation protocol and automated recognition},\n year = {2019}\n}\n'}","[{'authorId': '1455993465', 'name': 'Wail Elbani'}]"
88,074e8a7bece079f6c8b4110273f3de1614f5075d,A knowledge infused context driven dialogue agent for disease diagnosis using hierarchical reinforcement learning,,2022.0,16.0,16.0,False,,"{'volume': '242', 'pages': '108292', 'name': 'Knowl. Based Syst.'}","{'bibtex': '@Article{Tiwari2022AKI,\n author = {Abhisek Tiwari and S. Saha and P. Bhattacharyya},\n journal = {Knowl. Based Syst.},\n pages = {108292},\n title = {A knowledge infused context driven dialogue agent for disease diagnosis using hierarchical reinforcement learning},\n volume = {242},\n year = {2022}\n}\n'}","[{'authorId': '2063522518', 'name': 'Abhisek Tiwari'}, {'authorId': '145470045', 'name': 'S. Saha'}, {'authorId': '145532184', 'name': 'P. Bhattacharyya'}]"
89,0768149ce1170691bcde8b4539153a282f0cc74c,Does Gamification Work? -- A Literature Review of Empirical Studies on Gamification,"This paper reviews peer-reviewed empirical studies on gamification. We create a framework for examining the effects of gamification by drawing from the definitions of gamification and the discussion on motivational affordances. The literature review covers results, independent variables (examined motivational affordances), dependent variables (examined psychological/behavioral outcomes from gamification), the contexts of gamification, and types of studies performed on the gamified systems. The paper examines the state of current research on the topic and points out gaps in existing literature. The review indicates that gamification provides positive effects, however, the effects are greatly dependent on the context in which the gamification is being implemented, as well as on the users using it. The findings of the review provide insight for further studies as well as for the design of gamified systems.",2014.0,48.0,3263.0,True,"{'url': 'https://ieeexplore.ieee.org/ielx7/6751593/6758592/06758978.pdf', 'status': None}","{'pages': '3025-3034', 'name': '2014 47th Hawaii International Conference on System Sciences'}","{'bibtex': '@Article{Hamari2014DoesGW,\n author = {Juho Hamari and Jonna Koivisto and Harri Sarsa},\n journal = {2014 47th Hawaii International Conference on System Sciences},\n pages = {3025-3034},\n title = {Does Gamification Work? -- A Literature Review of Empirical Studies on Gamification},\n year = {2014}\n}\n'}","[{'authorId': '2095817', 'name': 'Juho Hamari'}, {'authorId': '2791914', 'name': 'Jonna Koivisto'}, {'authorId': '3054816', 'name': 'Harri Sarsa'}]"
